id,title,description,category,actual_days,holdout
1,Fix login button not responding on mobile Safari,Users report the login button does nothing when tapped on iOS Safari. Likely a touch event handler issue.,Bug Fix,1.5,False
2,Add dark mode toggle to settings page,Implement a theme switcher that persists user preference in localStorage and applies CSS variables across the app.,Feature,4.0,False
3,Write API documentation for user endpoints,Document all CRUD endpoints under /api/users with request/response examples and error codes.,Documentation,2.0,False
4,Refactor authentication middleware,Consolidate duplicate auth checks scattered across route handlers into a single reusable middleware module.,Refactoring,3.5,False
5,Set up CI pipeline with GitHub Actions,"Configure automated test runs, linting, and deployment on push to main branch.",DevOps,2.5,False
6,Design onboarding flow wireframes,"Create wireframes for a 3-step onboarding experience including welcome, profile setup, and team invite.",Design,3.0,False
7,Research GraphQL vs REST for mobile API,"Evaluate trade-offs of GraphQL adoption for our mobile clients including caching, payload size, and team familiarity.",Research,5.0,False
8,Fix memory leak in websocket connection handler,Production monitoring shows steadily increasing memory usage. Suspect unclosed event listeners on reconnect.,Bug Fix,2.0,False
9,Implement CSV export for task reports,"Allow users to export filtered task lists as CSV with columns for title, status, assignee, and due date.",Feature,3.0,False
10,Add unit tests for payment validation module,"Cover edge cases: expired cards, invalid CVV, currency mismatches, and refund logic.",Testing,2.5,False
11,Fix timezone display bug in calendar view,Events show wrong time for users in UTC+5:30. Date parsing ignores client timezone offset.,Bug Fix,1.0,False
12,Build notification preferences panel,"Let users choose email vs push notifications per event type: mentions, assignments, due date reminders.",Feature,5.5,False
13,Document deployment runbook for staging,Step-by-step guide for deploying to staging including rollback procedures and smoke test checklist.,Documentation,1.5,False
14,Extract shared form validation into library,"Move duplicated email, phone, and password validation from 6 components into @company/forms package.",Refactoring,4.0,False
15,Configure Docker Compose for local development,"Set up containers for Postgres, Redis, and the API so new devs can start with one command.",DevOps,3.0,False
16,Create icon set for task priority levels,"Design 4 priority icons (low, medium, high, urgent) consistent with existing design system.",Design,2.0,False
17,Spike on real-time collaboration with CRDTs,Prototype concurrent editing using Yjs to assess feasibility for shared document editing feature.,Research,7.0,False
18,Fix pagination off-by-one on last page,Task list shows duplicate item when total count is exact multiple of page size.,Bug Fix,0.5,False
19,Add two-factor authentication via TOTP,"Integrate authenticator app support with QR code setup, backup codes, and recovery flow.",Feature,8.0,False
20,Write integration tests for checkout flow,"End-to-end tests covering cart, payment, confirmation email, and inventory decrement.",Testing,4.5,False
21,Fix broken avatar upload on slow connections,Upload times out after 10s but large images on 3G need longer. Add progress indicator and retry.,Bug Fix,2.5,False
22,Implement drag-and-drop kanban board,"Build interactive board with columns, card dragging, and optimistic UI updates synced to backend.",Feature,10.0,False
23,Update README with architecture overview,"Add system diagram, module descriptions, and links to ADRs for new team members.",Documentation,1.0,False
24,Split monolithic UserService into modules,"Break 1200-line service into ProfileService, AuthService, and PreferencesService with clear interfaces.",Refactoring,6.0,False
25,Set up monitoring with Prometheus and Grafana,"Instrument API endpoints, configure dashboards for latency p95/p99, error rates, and queue depth.",DevOps,5.0,False
26,Design mobile-responsive dashboard layout,Adapt desktop dashboard widgets into collapsible cards for screens under 768px width.,Design,4.0,False
27,Evaluate third-party search providers,"Compare Algolia, Elasticsearch, and Meilisearch for full-text task search with faceted filters.",Research,4.5,False
28,Fix race condition in concurrent task updates,Two users editing same task can overwrite each other's changes. Need optimistic locking.,Bug Fix,3.0,False
29,Add Slack integration for task notifications,"Post to Slack channel when tasks are assigned, completed, or overdue. Include OAuth setup flow.",Feature,6.5,False
30,Add snapshot tests for email templates,"Ensure HTML email templates render consistently across welcome, reset password, and invoice emails.",Testing,2.0,False
31,Fix search filter not clearing on navigation,"Search query persists when user navigates away and back, showing stale filtered results.",Bug Fix,0.5,True
32,Build recurring task scheduler,"Support daily, weekly, and monthly recurring tasks with cron-like rules and skip/reschedule options.",Feature,7.5,False
33,Write contributor guide for open source repo,"Cover code style, PR process, issue templates, and local setup for external contributors.",Documentation,2.5,False
34,Migrate date utilities to date-fns,Replace moment.js usage across 23 files with date-fns to reduce bundle size by ~60KB.,Refactoring,3.5,False
35,Configure auto-scaling for API servers,Set up horizontal pod autoscaling based on CPU and request rate thresholds in Kubernetes.,DevOps,4.0,False
36,Design empty state illustrations,"Create friendly illustrations for empty task list, no search results, and first-time user states.",Design,3.5,False
37,Research accessibility compliance for WCAG 2.1 AA,"Audit current app against WCAG checklist, identify gaps, and estimate remediation effort.",Research,6.0,False
38,Fix incorrect tax calculation for EU orders,VAT not applied correctly for Germany and France. Tax service returns wrong rate for B2B customers.,Bug Fix,2.0,False
39,Implement team workspace with role-based access,"Multi-tenant workspaces with owner, admin, member, and viewer roles. Invite via email link.",Feature,12.0,False
40,Add load tests for peak traffic simulation,Use k6 to simulate 500 concurrent users during checkout and measure response time degradation.,Testing,3.0,False
41,Fix dropdown menu clipping in modal dialogs,Select dropdowns inside modals get cut off by overflow:hidden on the modal container.,Bug Fix,1.0,False
42,Add inline task comments with @mentions,Threaded comments on tasks with @mention autocomplete and email notification to mentioned users.,Feature,5.0,False
43,Document webhook payload formats,"Specify JSON schema for all outbound webhooks: task.created, task.updated, task.deleted events.",Documentation,1.5,False
44,Refactor database queries to use repository pattern,Introduce TaskRepository and UserRepository to decouple business logic from raw SQL/ORM calls.,Refactoring,5.5,False
45,Set up secrets management with Vault,Move hardcoded API keys and DB credentials to HashiCorp Vault with rotation policy.,DevOps,4.5,False
46,Create loading skeleton components,"Design shimmer skeleton placeholders for task cards, sidebar, and dashboard widgets during fetch.",Design,2.5,False
47,Investigate micro-frontend architecture options,Assess Module Federation vs iframe-based approach for splitting admin and user-facing apps.,Research,5.5,False
48,Fix session expiry redirect loop,"Expired sessions redirect to login, which redirects back to protected page, causing infinite loop.",Bug Fix,1.5,False
49,Build custom report builder with filters,"Drag-and-drop report builder letting users pick metrics, group by fields, and save report templates.",Feature,14.0,False
50,Add contract tests for payment gateway API,Verify our integration matches Stripe API contract using Pact consumer-driven contract tests.,Testing,4.0,False
51,Fix chart tooltip positioning on scroll,Analytics chart tooltips appear in wrong position after user scrolls the dashboard page.,Bug Fix,1.0,False
52,Implement file attachments on tasks,"Upload files up to 25MB to S3, show previews for images, and track version history.",Feature,6.0,False
53,Write troubleshooting guide for common errors,"FAQ-style doc covering 502 errors, CORS issues, auth token expiry, and cache invalidation.",Documentation,2.0,False
54,Consolidate error handling across API routes,Replace 4 different error response formats with unified ErrorResponse class and error codes enum.,Refactoring,3.0,False
55,Configure blue-green deployment strategy,Set up two production environments with traffic switching and automated health checks before cutover.,DevOps,6.0,False
56,Design color palette for status badges,"Define semantic colors for todo, in-progress, review, done, and blocked status indicators.",Design,1.5,False
57,Benchmark database indexing strategies,Compare query performance with composite indexes vs partial indexes on task search queries.,Research,3.5,False
58,Fix duplicate notifications on task reassignment,Reassigning a task sends both 'unassigned' and 'assigned' emails plus a redundant Slack message.,Bug Fix,1.5,False
59,Add Gantt chart view for project timeline,"Interactive Gantt with task dependencies, milestone markers, and critical path highlighting.",Feature,11.0,False
60,Write E2E tests for user registration flow,"Playwright tests covering signup, email verification, profile completion, and first task creation.",Testing,3.5,False
61,Fix keyboard navigation in tag selector,Arrow keys and Enter don't work in the multi-select tag input component for accessibility.,Bug Fix,2.0,False
62,Implement audit log for compliance,"Track all data changes with who, what, when. Exportable for SOC2 audit requirements.",Feature,9.0,False
63,Document rate limiting policy for public API,"Specify tier limits, burst allowances, 429 response format, and retry-after header behavior.",Documentation,1.0,False
64,Extract notification service from monolith,"Move email, push, and Slack notification logic into standalone microservice with message queue.",Refactoring,8.0,False
65,Set up log aggregation with ELK stack,"Ship application logs to Elasticsearch via Logstash, create Kibana dashboards for error tracking.",DevOps,5.5,False
66,Design print-friendly task export layout,CSS print stylesheet for exporting task lists and reports as clean PDF-ready pages.,Design,2.0,False
67,Evaluate serverless vs container deployment,Cost and performance comparison of Lambda vs ECS Fargate for our API workload patterns.,Research,4.0,False
68,Fix stale cache after bulk task update,"Bulk status change doesn't invalidate Redis cache, users see old statuses for up to 5 minutes.",Bug Fix,2.5,False
69,Add time tracking with start/stop timer,"Built-in timer per task, manual time entry, weekly timesheet view, and export for billing.",Feature,7.0,False
70,Add mutation tests for critical business logic,Use Stryker to verify test suite catches injected bugs in pricing and permission modules.,Testing,5.0,False
71,Fix export CSV encoding for special characters,Task titles with emoji and accented characters appear garbled in Excel-exported CSV files.,Bug Fix,1.0,True
72,Build template library for common workflows,"Pre-built task templates for sprint planning, bug triage, onboarding checklist, and release process.",Feature,5.5,True
73,Write security incident response playbook,"Document steps for data breach notification, credential rotation, and customer communication.",Documentation,3.0,True
74,Migrate from REST to event-driven architecture,"Introduce event bus for decoupling task updates from notification, search index, and analytics consumers.",Refactoring,10.0,True
75,Configure CDN for static assets,Set up CloudFront distribution with cache invalidation on deploy and gzip compression.,DevOps,2.0,True
76,Design error page illustrations,"Custom 404, 500, and maintenance mode pages with on-brand illustrations and helpful navigation.",Design,2.5,True
77,Research AI-assisted task prioritization,"Explore ML models that suggest task priority based on deadlines, dependencies, and team capacity.",Research,8.0,True
78,Fix webhook delivery retry exhaustion,Failed webhooks stop retrying after 3 attempts but should use exponential backoff up to 24 hours.,Bug Fix,2.0,True
79,Implement subtask checklist with progress bar,Nested subtasks under parent tasks with completion percentage and auto-status update when all done.,Feature,4.5,False
80,Add performance regression test suite,Lighthouse CI integration to fail builds when page load time exceeds 3s or bundle size grows 10%.,Testing,3.0,True
81,Fix sidebar collapse state not persisting,Sidebar resets to expanded on page refresh despite user preference saved in session.,Bug Fix,0.5,False
82,Add calendar sync with Google Calendar,Two-way sync of task due dates with Google Calendar events using OAuth and incremental sync.,Feature,8.5,True
83,Document data retention and GDPR compliance,"Specify retention periods, right-to-erasure process, and data processing agreements for EU users.",Documentation,4.0,True
84,Refactor state management to Zustand,Replace Redux boilerplate in 15 components with Zustand stores for simpler task and UI state.,Refactoring,4.5,False
85,Set up staging environment mirroring production,Clone production infra with anonymized data for pre-release testing and QA sign-off.,DevOps,3.5,True
86,Design avatar placeholder generation,Generate consistent colored initials avatars from user name hash when no profile photo uploaded.,Design,1.0,True
87,Evaluate monorepo tooling options,"Compare Nx, Turborepo, and Lerna for managing shared packages across frontend and backend.",Research,3.0,False
88,Fix infinite scroll loading duplicate items,"Scrolling to bottom of task list occasionally loads the same page twice, showing duplicate cards.",Bug Fix,1.5,False
89,Build custom field system for tasks,"Allow workspace admins to define custom fields: text, number, date, dropdown, and multi-select.",Feature,9.5,True
90,Add visual regression tests with Percy,Capture screenshots of key pages on each PR and flag unintended UI changes for review.,Testing,2.5,False
91,Fix date picker locale formatting,Date picker shows MM/DD/YYYY for all users instead of respecting browser locale settings.,Bug Fix,1.0,False
92,Implement workload balancing view,Show team member capacity bars based on assigned task estimates and highlight overloaded members.,Feature,6.5,False
93,Write API changelog and versioning guide,"Document API version lifecycle, deprecation policy, and migration guides for breaking changes.",Documentation,2.0,False
94,Split frontend bundle with code splitting,"Lazy-load admin, reports, and settings routes to reduce initial bundle from 800KB to under 300KB.",Refactoring,3.0,True
95,Configure automated database backups,Daily encrypted backups to S3 with 30-day retention and monthly restore drill verification.,DevOps,2.5,False
96,Design notification toast component system,"Unified toast design for success, warning, error, and info with auto-dismiss and action buttons.",Design,2.0,False
97,Research offline-first sync strategies,Investigate IndexedDB + service worker patterns for task editing without network connectivity.,Research,6.5,True
98,Fix permission check bypass for shared links,Public share links expose edit capability when user only has view permission on the workspace.,Bug Fix,3.5,True
99,Add bulk import from Jira CSV export,"Parse Jira CSV format, map fields to our schema, preview import, and handle duplicate detection.",Feature,5.0,True
100,Add smoke test suite for production health,"Lightweight post-deploy checks verifying login, task CRUD, and search return expected responses.",Testing,2.0,True
